epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.774,0.42036,2.00491,1.08787,0.30326,0.61874,0.40376,0.4024,0.21255,1.55197,1.11311,0.00333022,0.00333022,0.00333022
2,120.349,0.26991,1.47915,0.93632,0.41085,0.59986,0.47269,0.47034,0.15063,1.39171,1.08478,0.00666283,0.00666283,0.00666283
3,174.461,0.30112,1.49416,0.94152,0.38485,0.53756,0.38884,0.38666,0.13756,3.00277,1.08144,0.00999254,0.00999254,0.00999254
4,225.882,0.27887,1.50482,0.93847,0.41508,0.50832,0.37757,0.37581,0.1221,3.34245,1.06849,0.00999023,0.00999023,0.00999023
5,280.544,0.22833,1.44965,0.91984,0.39491,0.60896,0.46863,0.46557,0.15249,3.44931,1.10814,0.00998264,0.00998264,0.00998264
6,333.561,0.19238,1.40698,0.91027,0.48822,0.65389,0.54755,0.54184,0.10049,2.453,1.07255,0.00997288,0.00997288,0.00997288
7,385.67,0.17299,1.37273,0.9066,0.50457,0.63944,0.54825,0.54683,0.06209,2.84048,1.05333,0.00996097,0.00996097,0.00996097
8,437.269,0.16066,1.35148,0.90451,0.54737,0.66258,0.6289,0.61899,0.08853,0.99545,1.07263,0.0099469,0.0099469,0.0099469
9,488.569,0.15141,1.33587,0.90121,0.51301,0.69336,0.59889,0.59516,0.10639,1.9588,1.08965,0.00993068,0.00993068,0.00993068
10,540.946,0.14509,1.32583,0.90106,0.538,0.65937,0.61491,0.61238,0.07696,1.26367,1.06624,0.00991232,0.00991232,0.00991232
11,595.58,0.14052,1.31287,0.89917,0.56858,0.67583,0.64225,0.64151,0.07726,1.98587,1.05001,0.00989183,0.00989183,0.00989183
12,648.677,0.13451,1.29039,0.89643,0.57826,0.67632,0.64124,0.64072,0.06055,2.60906,1.05138,0.00986922,0.00986922,0.00986922
13,702.551,0.13095,1.2827,0.89647,0.59473,0.69411,0.66659,0.66484,0.05051,1.37604,1.05027,0.00984449,0.00984449,0.00984449
14,756.183,0.1281,1.27408,0.89707,0.61468,0.70444,0.68431,0.68275,0.05511,1.93208,1.05209,0.00981765,0.00981765,0.00981765
15,810.445,0.12629,1.26097,0.89755,0.59829,0.71319,0.676,0.6753,0.04511,2.41959,1.04718,0.00978873,0.00978873,0.00978873
16,863.61,0.12118,1.25102,0.89631,0.6279,0.71046,0.70529,0.70464,0.04226,1.49238,1.0468,0.00975773,0.00975773,0.00975773
17,918.569,0.11936,1.24277,0.89567,0.63857,0.71679,0.71642,0.71634,0.03818,1.80972,1.045,0.00972466,0.00972466,0.00972466
18,970.809,0.11932,1.24011,0.89524,0.63295,0.7312,0.71914,0.71895,0.0336,1.63312,1.04314,0.00968955,0.00968955,0.00968955
19,1024.28,0.11734,1.23045,0.89265,0.63485,0.71454,0.71851,0.7178,0.03952,1.55899,1.04492,0.00965239,0.00965239,0.00965239
20,1075.85,0.11465,1.22094,0.89407,0.64501,0.72606,0.72875,0.72665,0.0405,1.71846,1.04893,0.00961322,0.00961322,0.00961322
21,1127.43,0.11199,1.21562,0.89173,0.64524,0.74087,0.75689,0.75663,0.03515,0.73377,1.04363,0.00957205,0.00957205,0.00957205
22,1181.82,0.11051,1.21263,0.89291,0.65839,0.72895,0.74525,0.74487,0.04105,0.89468,1.04391,0.00952889,0.00952889,0.00952889
23,1236.62,0.10891,1.19801,0.89219,0.64792,0.75001,0.74666,0.74594,0.04526,1.50405,1.04618,0.00948377,0.00948377,0.00948377
24,1290.03,0.10948,1.19661,0.89288,0.66687,0.7382,0.74644,0.74628,0.05259,1.47412,1.04397,0.00943671,0.00943671,0.00943671
25,1341.38,0.10835,1.19307,0.89101,0.66767,0.73759,0.75355,0.75317,0.03253,1.48328,1.04421,0.00938772,0.00938772,0.00938772
26,1394.78,0.10686,1.18878,0.89285,0.66859,0.75178,0.76671,0.76659,0.02563,0.89791,1.04194,0.00933683,0.00933683,0.00933683
27,1447.24,0.10567,1.18567,0.89314,0.67919,0.74863,0.77025,0.76976,0.03303,0.93941,1.04361,0.00928405,0.00928405,0.00928405
28,1498.91,0.10511,1.18097,0.89204,0.67864,0.75131,0.76338,0.7632,0.03308,1.65882,1.04257,0.00922942,0.00922942,0.00922942
29,1551.17,0.10434,1.1735,0.89253,0.6827,0.74887,0.76574,0.76569,0.02962,1.17001,1.04171,0.00917296,0.00917296,0.00917296
30,1605.96,0.10337,1.16863,0.88979,0.68491,0.76291,0.77638,0.77633,0.03114,1.12485,1.04202,0.00911469,0.00911469,0.00911469
31,1659.88,0.10089,1.16628,0.89065,0.70558,0.73103,0.76683,0.76634,0.03623,1.84239,1.04335,0.00905463,0.00905463,0.00905463
32,1712.42,0.10106,1.16538,0.89106,0.69302,0.75334,0.77227,0.77221,0.02838,2.00804,1.04324,0.00899282,0.00899282,0.00899282
33,1766.32,0.10063,1.15719,0.89025,0.68597,0.75653,0.76642,0.76629,0.03456,1.84637,1.04222,0.00892928,0.00892928,0.00892928
34,1819.7,0.09926,1.15917,0.89075,0.70836,0.75114,0.77518,0.77509,0.03796,1.48492,1.04425,0.00886404,0.00886404,0.00886404
35,1873.58,0.09976,1.15598,0.89083,0.70317,0.75677,0.7766,0.77645,0.03374,1.5703,1.04313,0.00879713,0.00879713,0.00879713
36,1927.19,0.09885,1.15987,0.89037,0.70948,0.75506,0.77884,0.77876,0.02439,1.6856,1.04194,0.00872857,0.00872857,0.00872857
37,1980.69,0.09769,1.14763,0.89038,0.69514,0.76777,0.77792,0.77767,0.02634,1.66739,1.04308,0.00865839,0.00865839,0.00865839
38,2034.3,0.09824,1.14911,0.8899,0.71479,0.74999,0.78159,0.78148,0.03604,1.42844,1.0436,0.00858664,0.00858664,0.00858664
39,2086.78,0.09789,1.14523,0.88974,0.70302,0.77048,0.78385,0.78369,0.03683,1.98583,1.04424,0.00851333,0.00851333,0.00851333
40,2141.03,0.09459,1.1425,0.89074,0.6879,0.77545,0.7849,0.78471,0.02985,1.88188,1.04303,0.00843851,0.00843851,0.00843851
41,2195.72,0.0945,1.13435,0.89283,0.70172,0.76929,0.78369,0.78355,0.0296,1.97225,1.04252,0.0083622,0.0083622,0.0083622
42,2249.82,0.09511,1.13268,0.89053,0.70693,0.7684,0.78497,0.7847,0.02652,2.08456,1.04242,0.00828443,0.00828443,0.00828443
43,2302.03,0.09345,1.12826,0.89065,0.71817,0.75824,0.7888,0.78849,0.02666,1.81758,1.042,0.00820525,0.00820525,0.00820525
44,2354.4,0.094,1.1307,0.88843,0.71243,0.76345,0.78793,0.78758,0.02761,2.2066,1.04174,0.00812468,0.00812468,0.00812468
45,2408.64,0.09246,1.11919,0.89028,0.71517,0.76356,0.78797,0.78729,0.03,2.15625,1.04332,0.00804277,0.00804277,0.00804277
46,2460.83,0.0924,1.11756,0.88985,0.71731,0.76402,0.78734,0.78701,0.02952,2.0084,1.0433,0.00795954,0.00795954,0.00795954
47,2514.61,0.09305,1.11934,0.89069,0.70798,0.78096,0.78976,0.78967,0.02762,1.88798,1.04206,0.00787503,0.00787503,0.00787503
48,2568.91,0.09151,1.11585,0.89053,0.72375,0.76867,0.79162,0.79156,0.02892,1.80748,1.04274,0.00778929,0.00778929,0.00778929
