epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.1652,0.08506,1.59944,0.89325,0.71141,0.75762,0.79074,0.79056,0.04593,1.11173,1.04705,0.00333022,0.00333022,0.00333022
2,111.263,0.07389,1.13758,0.88798,0.66076,0.75629,0.73446,0.73391,0.04017,1.85594,1.0523,0.00666192,0.00666192,0.00666192
3,160.954,0.09343,1.13644,0.89021,0.63652,0.72822,0.71045,0.70947,0.05777,1.36805,1.05218,0.00998712,0.00998712,0.00998712
4,210.226,0.11,1.18132,0.89546,0.6414,0.72663,0.70276,0.70241,0.04713,2.10339,1.04464,0.00997803,0.00997803,0.00997803
5,261.807,0.11219,1.18031,0.893,0.65132,0.69665,0.70041,0.69344,0.09956,1.68431,1.08962,0.00996097,0.00996097,0.00996097
6,311.794,0.11236,1.18482,0.89393,0.65685,0.71929,0.73318,0.72797,0.08529,0.92414,1.06124,0.00993906,0.00993906,0.00993906
7,362.499,0.11165,1.18328,0.89421,0.62786,0.70608,0.71429,0.7089,0.06745,0.97526,1.05484,0.00991232,0.00991232,0.00991232
8,413.899,0.1112,1.17147,0.89469,0.66426,0.72014,0.73501,0.73312,0.05385,1.90987,1.0525,0.00988079,0.00988079,0.00988079
9,465.013,0.10988,1.17072,0.89358,0.65417,0.71966,0.715,0.71257,0.05846,2.01959,1.05957,0.00984449,0.00984449,0.00984449
10,516.273,0.10926,1.17197,0.89455,0.62396,0.73077,0.70614,0.7053,0.05158,1.91536,1.04767,0.00980345,0.00980345,0.00980345
11,568.596,0.10976,1.17177,0.89342,0.62689,0.73886,0.71269,0.71118,0.08569,1.76347,1.05429,0.00975773,0.00975773,0.00975773
12,620.669,0.10838,1.16404,0.8919,0.64258,0.73408,0.72849,0.72823,0.04342,1.55458,1.04503,0.00970736,0.00970736,0.00970736
13,672.702,0.10791,1.1621,0.8919,0.65115,0.74121,0.74061,0.74028,0.05686,1.3354,1.04865,0.00965239,0.00965239,0.00965239
14,724.473,0.10694,1.16356,0.89303,0.66431,0.73483,0.74631,0.74513,0.04633,1.87321,1.04719,0.00959289,0.00959289,0.00959289
15,776.244,0.10827,1.16186,0.89446,0.67479,0.73079,0.74749,0.74668,0.05778,1.93704,1.05032,0.00952889,0.00952889,0.00952889
16,828.171,0.10688,1.16027,0.89468,0.64976,0.74088,0.73093,0.72065,0.09624,2.13898,1.06377,0.00946048,0.00946048,0.00946048
17,879.997,0.10591,1.15815,0.89371,0.66885,0.74653,0.75186,0.74946,0.06177,1.90291,1.06245,0.00938772,0.00938772,0.00938772
18,929.146,0.10649,1.16308,0.89315,0.67312,0.75257,0.76092,0.75983,0.05083,1.69608,1.04818,0.00931067,0.00931067,0.00931067
19,980.564,0.10518,1.15202,0.89116,0.66665,0.75375,0.76851,0.76707,0.07371,0.88566,1.05305,0.00922942,0.00922942,0.00922942
20,1031.41,0.10353,1.14998,0.8932,0.67035,0.73477,0.74704,0.74374,0.04597,1.45805,1.04944,0.00914405,0.00914405,0.00914405
21,1084.74,0.10281,1.14825,0.89094,0.69508,0.73481,0.75726,0.75587,0.05276,2.02948,1.05211,0.00905463,0.00905463,0.00905463
22,1136.93,0.10225,1.1489,0.89203,0.67985,0.74151,0.76022,0.75799,0.04586,1.01655,1.04711,0.00896127,0.00896127,0.00896127
23,1187.77,0.10067,1.13886,0.89133,0.67843,0.74462,0.76504,0.76432,0.06784,1.66487,1.05469,0.00886404,0.00886404,0.00886404
24,1237.14,0.10149,1.14038,0.8917,0.69803,0.739,0.767,0.76663,0.03989,1.20273,1.04441,0.00876305,0.00876305,0.00876305
25,1287.01,0.09954,1.13398,0.88987,0.67166,0.75757,0.75361,0.75325,0.04315,1.39992,1.04458,0.00865839,0.00865839,0.00865839
26,1336.86,0.09823,1.12671,0.89203,0.70177,0.74147,0.77212,0.77155,0.051,1.23199,1.04546,0.00855018,0.00855018,0.00855018
27,1388.37,0.09795,1.1289,0.89225,0.67627,0.76522,0.76842,0.7679,0.04365,1.45574,1.0461,0.00843851,0.00843851,0.00843851
28,1437.43,0.09922,1.13221,0.89211,0.69551,0.7604,0.77441,0.77356,0.04927,1.1127,1.04541,0.00832349,0.00832349,0.00832349
29,1488.4,0.09719,1.12972,0.8919,0.68365,0.76365,0.76715,0.76652,0.03937,1.95046,1.04534,0.00820525,0.00820525,0.00820525
30,1539.68,0.09701,1.1219,0.88996,0.68258,0.77248,0.77893,0.77762,0.03994,1.04517,1.04664,0.00808389,0.00808389,0.00808389
31,1591.34,0.09563,1.12239,0.89161,0.65846,0.77623,0.76841,0.76695,0.05008,1.12108,1.04667,0.00795954,0.00795954,0.00795954
32,1642.91,0.0958,1.12943,0.89146,0.71134,0.73759,0.77837,0.77785,0.04809,1.43187,1.04877,0.00783231,0.00783231,0.00783231
33,1694.46,0.09469,1.12217,0.88967,0.69847,0.75903,0.77017,0.76968,0.04165,1.6954,1.04422,0.00770234,0.00770234,0.00770234
34,1746.01,0.09423,1.11926,0.8905,0.68418,0.76776,0.77605,0.77592,0.04548,1.4076,1.04376,0.00756976,0.00756976,0.00756976
35,1796.04,0.09339,1.11186,0.89079,0.70354,0.76399,0.7818,0.78033,0.0517,1.82009,1.05007,0.00743468,0.00743468,0.00743468
36,1848.29,0.09279,1.12117,0.88993,0.69864,0.76316,0.78712,0.78514,0.04857,1.35906,1.04665,0.00729725,0.00729725,0.00729725
37,1898.13,0.09199,1.10994,0.89042,0.70362,0.75112,0.78209,0.7812,0.05252,1.51567,1.04786,0.00715761,0.00715761,0.00715761
38,1951.36,0.09061,1.10832,0.88909,0.69224,0.77541,0.79132,0.79098,0.04794,1.0417,1.04592,0.00701588,0.00701588,0.00701588
39,2002.98,0.09033,1.10459,0.88951,0.70862,0.76301,0.79432,0.79348,0.05052,0.93846,1.04483,0.00687222,0.00687222,0.00687222
40,2055.44,0.09051,1.10818,0.89106,0.71569,0.75184,0.78708,0.78637,0.04541,1.18392,1.04459,0.00672675,0.00672675,0.00672675
41,2106.91,0.08809,1.10243,0.8927,0.72052,0.76326,0.79078,0.7902,0.04135,1.0638,1.04402,0.00657963,0.00657963,0.00657963
42,2158.58,0.08785,1.10041,0.88978,0.70946,0.77539,0.78689,0.78663,0.03907,1.34129,1.04368,0.00643101,0.00643101,0.00643101
43,2209.79,0.08592,1.09438,0.8899,0.70926,0.77081,0.78701,0.78657,0.03742,1.40327,1.04384,0.00628101,0.00628101,0.00628101
44,2261.56,0.08645,1.09819,0.88773,0.71057,0.77282,0.78796,0.78764,0.03056,1.4193,1.04276,0.00612981,0.00612981,0.00612981
45,2310.65,0.08542,1.08755,0.89007,0.69994,0.78556,0.79037,0.78983,0.02919,1.31834,1.04269,0.00597754,0.00597754,0.00597754
46,2362.17,0.08408,1.08026,0.88934,0.69854,0.78799,0.79214,0.79158,0.03112,1.37269,1.04273,0.00582435,0.00582435,0.00582435
47,2413.89,0.08491,1.08095,0.88983,0.69776,0.78834,0.79089,0.79059,0.03209,1.46062,1.04273,0.0056704,0.0056704,0.0056704
48,2464.48,0.08191,1.07694,0.88961,0.69952,0.78406,0.79032,0.78989,0.03285,1.4536,1.04292,0.00551584,0.00551584,0.00551584
49,2513.66,0.08263,1.07518,0.89102,0.71611,0.76973,0.79159,0.79109,0.03309,1.4772,1.04326,0.00536081,0.00536081,0.00536081
50,2563.03,0.08204,1.06224,0.88931,0.70828,0.78247,0.79207,0.79172,0.03314,1.4743,1.04303,0.00520548,0.00520548,0.00520548
51,2615.24,0.08006,1.07176,0.8888,0.71031,0.77635,0.79111,0.79091,0.03513,1.49645,1.04298,0.00505,0.00505,0.00505
52,2668.11,0.08069,1.06389,0.88697,0.71388,0.77644,0.7928,0.79258,0.03525,1.50413,1.04289,0.00489452,0.00489452,0.00489452
53,2719.29,0.07938,1.06427,0.88835,0.71197,0.77928,0.79246,0.79221,0.03373,1.55308,1.04284,0.00473919,0.00473919,0.00473919
54,2771.21,0.07745,1.05893,0.88723,0.72653,0.76231,0.79286,0.79265,0.0325,1.54818,1.04289,0.00458416,0.00458416,0.00458416
55,2820.82,0.07656,1.05727,0.88749,0.72566,0.76877,0.79349,0.79322,0.03152,1.55139,1.04286,0.0044296,0.0044296,0.0044296
56,2874.12,0.07603,1.05456,0.88798,0.72258,0.77068,0.79243,0.79204,0.02981,1.56916,1.0427,0.00427565,0.00427565,0.00427565
57,2926.08,0.07576,1.05068,0.8878,0.7225,0.76919,0.79356,0.79321,0.0268,1.60075,1.04241,0.00412246,0.00412246,0.00412246
58,2975.34,0.07546,1.04774,0.88723,0.71636,0.77438,0.79299,0.79273,0.02319,1.62096,1.04203,0.00397019,0.00397019,0.00397019
59,3026.12,0.0738,1.04397,0.889,0.72724,0.76322,0.79326,0.79294,0.02242,1.62204,1.04198,0.00381899,0.00381899,0.00381899
60,3076.37,0.07296,1.03747,0.88632,0.71937,0.77059,0.7932,0.79297,0.02345,1.58929,1.04196,0.00366899,0.00366899,0.00366899
61,3126.87,0.07202,1.03732,0.88783,0.72192,0.76804,0.79407,0.79382,0.02374,1.54205,1.04196,0.00352037,0.00352037,0.00352037
62,3178.18,0.07204,1.03278,0.887,0.72766,0.76361,0.79405,0.79382,0.02509,1.50201,1.04205,0.00337325,0.00337325,0.00337325
63,3229.86,0.07061,1.03373,0.88666,0.72362,0.76541,0.79423,0.79399,0.02496,1.49356,1.04211,0.00322778,0.00322778,0.00322778
64,3280.88,inf,1.02358,0.88653,0.71449,0.77623,0.79495,0.79469,0.02506,1.49127,1.04223,0.00308412,0.00308412,0.00308412
65,3332.43,0.06893,1.02128,0.88667,0.71319,0.78073,0.79561,0.79534,0.02438,1.47198,1.04217,0.00294239,0.00294239,0.00294239
66,3383.72,0.06922,1.01475,0.88691,0.7101,0.78661,0.79582,0.79561,0.02439,1.44516,1.04221,0.00280275,0.00280275,0.00280275
67,3435.16,0.06759,1.01538,0.8876,0.71214,0.78266,0.79579,0.79557,0.02426,1.42707,1.04221,0.00266532,0.00266532,0.00266532
68,3486.48,0.06672,1.01702,0.88822,0.71518,0.78053,0.79555,0.79535,0.02468,1.41982,1.0422,0.00253024,0.00253024,0.00253024
69,3537.87,0.06571,1.01125,0.88617,0.71505,0.78089,0.79519,0.79499,0.02498,1.41623,1.04217,0.00239766,0.00239766,0.00239766
70,3588.49,inf,1.01263,0.88833,0.71496,0.78042,0.79496,0.79472,0.02544,1.40646,1.04217,0.00226769,0.00226769,0.00226769
71,3637.69,0.06472,0.99898,0.88571,0.71321,0.78315,0.79493,0.79468,0.02544,1.39192,1.04217,0.00214046,0.00214046,0.00214046
72,3687.03,0.06362,0.99915,0.88697,0.71411,0.78241,0.79469,0.79445,0.02582,1.3809,1.0422,0.00201611,0.00201611,0.00201611
73,3736.22,0.06331,0.99664,0.88636,0.71373,0.7822,0.79519,0.79495,0.02627,1.37864,1.04223,0.00189475,0.00189475,0.00189475
74,3785.8,0.06364,0.99457,0.88488,0.71306,0.78331,0.79481,0.79457,0.02681,1.38402,1.04229,0.00177651,0.00177651,0.00177651
75,3837.96,0.06244,0.98042,0.88557,0.71326,0.78131,0.79503,0.79483,0.02744,1.38597,1.04235,0.00166149,0.00166149,0.00166149
76,3889.28,0.0621,0.97935,0.88538,0.71699,0.77824,0.79484,0.79455,0.02799,1.39144,1.04237,0.00154982,0.00154982,0.00154982
77,3940.72,0.06071,0.97126,0.88523,0.71714,0.77838,0.79463,0.79437,0.02837,1.39308,1.04239,0.00144161,0.00144161,0.00144161
