epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.8428,0.47609,2.10186,1.0976,0.27568,0.56041,0.3311,0.33034,0.12331,1.55902,1.07123,0.00333022,0.00333022,0.00333022
2,85.0854,0.28496,1.54025,0.93657,0.33949,0.52132,0.29509,0.29478,0.14603,2.18477,1.05966,0.00666192,0.00666192,0.00666192
3,123.96,0.31763,1.53314,0.94017,0.37485,0.4137,0.31415,0.3083,0.30005,2.95605,1.17597,0.00998712,0.00998712,0.00998712
4,162.298,0.2894,1.52755,0.9364,0.37268,0.6085,0.40606,0.39997,0.19501,2.22873,1.09884,0.00997803,0.00997803,0.00997803
5,199.954,0.23429,1.46861,0.91921,0.4164,0.59259,0.43909,0.43573,0.12369,1.74802,1.0751,0.00996097,0.00996097,0.00996097
6,239.1,0.20537,1.43866,0.91375,0.39912,0.66299,0.44935,0.44829,0.09279,2.8302,1.06338,0.00993906,0.00993906,0.00993906
7,278.091,0.1827,1.40257,0.90873,0.47484,0.66296,0.53294,0.52691,0.10295,2.38678,1.0754,0.00991232,0.00991232,0.00991232
8,316.434,0.17317,1.39021,0.9082,0.48513,0.67626,0.55892,0.55689,0.09286,1.68334,1.06154,0.00988079,0.00988079,0.00988079
9,355.028,0.16113,1.3718,0.90409,0.50685,0.67912,0.57723,0.57423,0.09652,2.33363,1.06429,0.00984449,0.00984449,0.00984449
10,392.998,0.15449,1.3586,0.90416,0.45813,0.65444,0.55787,0.51679,0.19901,1.37588,1.12597,0.00980345,0.00980345,0.00980345
11,431.625,0.1487,1.34392,0.90155,0.52899,0.65955,0.59194,0.57008,0.1604,1.98507,1.10555,0.00975773,0.00975773,0.00975773
12,470.702,0.14131,1.32364,0.89855,0.54084,0.66425,0.59766,0.59712,0.07417,2.55648,1.05147,0.00970736,0.00970736,0.00970736
13,508.52,0.13792,1.31491,0.89845,0.54733,0.65921,0.62423,0.62119,0.08629,1.21728,1.06006,0.00965239,0.00965239,0.00965239
