epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.4406,0.25628,2.49318,0.9355,0.18387,0.73902,0.20774,0.19742,0.23567,1.65814,0.81944,0.000277407,0.000277407,0.000277407
2,73.3109,0.23673,1.67748,0.92548,0.20084,0.55098,0.28137,0.25207,0.27687,1.94371,0.84942,0.000551691,0.000551691,0.000551691
3,107.302,0.21756,1.60421,0.91631,0.2293,0.54273,0.30383,0.28742,0.25679,2.05289,0.83146,0.000812565,0.000812565,0.000812565
4,140.784,0.20203,1.55999,0.91364,0.33124,0.64948,0.38228,0.35382,0.2829,1.74677,0.78714,0.000788058,0.000788058,0.000788058
5,174.633,0.18735,1.52248,0.90693,0.33321,0.58291,0.3823,0.34792,0.28503,2.62008,0.87854,0.000754251,0.000754251,0.000754251
6,207.525,0.17162,1.49813,0.90376,0.42351,0.51329,0.36495,0.34505,0.24178,2.22866,0.91176,0.00071223,0.00071223,0.00071223
7,240.553,0.16537,1.4813,0.90268,0.34983,0.65992,0.41039,0.37082,0.25241,2.50745,0.91363,0.000663029,0.000663029,0.000663029
8,273.627,0.15495,1.45641,0.90205,0.35729,0.63511,0.43319,0.42013,0.16671,1.86044,0.99716,0.000607861,0.000607861,0.000607861
9,307.067,0.14732,1.44503,0.89906,0.37085,0.66547,0.47943,0.46996,0.10649,1.44852,1.0229,0.000548084,0.000548084,0.000548084
10,340.373,0.14175,1.43131,0.89943,0.4066,0.62528,0.50359,0.50129,0.09778,1.5793,1.04789,0.000485168,0.000485168,0.000485168
11,373.724,0.09342,1.18833,0.90837,0.43697,0.69888,0.5609,0.56082,0.07596,1.03681,1.0437,0.000420665,0.000420665,0.000420665
12,406.874,0.07761,1.10601,0.90373,0.49889,0.6801,0.60172,0.60169,0.08225,0.99094,1.04513,0.000356162,0.000356162,0.000356162
13,440.006,0.07292,1.06263,0.9042,0.52569,0.68823,0.63274,0.63252,0.05898,0.94411,1.04234,0.000293246,0.000293246,0.000293246
14,472.627,0.06793,1.0177,0.90342,0.56731,0.66461,0.64734,0.64734,0.07249,0.91698,1.04392,0.000233469,0.000233469,0.000233469
15,505.535,0.06416,0.98727,0.90225,0.5637,0.68576,0.66266,0.66264,0.08317,0.9092,1.04669,0.000178301,0.000178301,0.000178301
16,538.059,0.06167,0.958,0.90337,0.5986,0.66519,0.672,0.67196,0.07049,0.86535,1.04409,0.0001291,0.0001291,0.0001291
17,571.119,0.05948,0.94249,0.89962,0.5949,0.67992,0.67746,0.67745,0.07491,0.87395,1.04497,8.7079e-05,8.7079e-05,8.7079e-05
18,603.898,0.05575,0.9143,0.9046,0.58551,0.6928,0.68577,0.68576,0.08004,0.85999,1.04622,5.32718e-05,5.32718e-05,5.32718e-05
19,636.627,0.05573,0.90496,0.9015,0.60031,0.68865,0.69165,0.69165,0.0758,0.84714,1.0452,2.85111e-05,2.85111e-05,2.85111e-05
20,669.907,0.05444,0.90434,0.9018,0.59752,0.69773,0.69417,0.69417,0.07786,0.84673,1.046,1.34065e-05,1.34065e-05,1.34065e-05
