epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.8053,0.21152,2.1782,0.91365,0.47065,0.66398,0.55162,0.55028,0.11519,1.553,1.06685,0.00333022,0.00333022,0.00333022
2,71.8252,0.24641,1.50714,0.91728,0.44373,0.66958,0.54537,0.54256,0.13409,1.48944,1.07343,0.00665704,0.00665704,0.00665704
3,106.167,0.28052,1.5069,0.92718,0.49351,0.50857,0.44456,0.44319,0.1176,2.80134,1.07225,0.00995786,0.00995786,0.00995786
4,139.281,0.27372,1.52049,0.92987,0.48098,0.46843,0.41445,0.41019,0.20552,4.24138,1.13589,0.00991232,0.00991232,0.00991232
5,172.252,0.2385,1.48487,0.91828,0.48098,0.60605,0.48007,0.47739,0.1925,2.7929,1.10246,0.00984449,0.00984449,0.00984449
6,204.958,0.21737,1.46479,0.91395,0.41783,0.57197,0.47177,0.45466,0.2261,1.476,1.14078,0.00975773,0.00975773,0.00975773
7,236.514,0.20559,1.45062,0.91161,0.42524,0.5993,0.45245,0.44786,0.20493,3.09419,1.18482,0.00965239,0.00965239,0.00965239
8,267.97,0.19365,1.43372,0.91047,0.42949,0.62062,0.50537,0.49539,0.1208,2.52429,1.08967,0.00952889,0.00952889,0.00952889
9,300.409,0.18487,1.42224,0.90719,0.49903,0.63539,0.54982,0.54187,0.164,1.73794,1.11063,0.00938772,0.00938772,0.00938772
10,332.941,0.17884,1.41473,0.90781,0.47812,0.61659,0.54371,0.54079,0.11817,1.71806,1.09033,0.00922942,0.00922942,0.00922942
11,365.802,0.17437,1.40153,0.90537,0.47591,0.66025,0.52841,0.52475,0.11721,2.69634,1.08956,0.00905463,0.00905463,0.00905463
12,397.7,0.16798,1.38929,0.90281,0.49621,0.6562,0.55427,0.5375,0.2891,3.03271,1.3019,0.00886404,0.00886404,0.00886404
13,429.615,0.16385,1.38223,0.90233,0.50064,0.62939,0.54811,0.53053,0.23956,2.21224,1.23033,0.00865839,0.00865839,0.00865839
